Description                                                                                                                                                                                             ,acteurs                                                                                                                                                                                                                                                                                                                          ,date             ,duree ,genre                                    ,langue ,pays           ,public    ,score ,titre                                                                ,titre_original
"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."                               ,"Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills,Fletcher Allen,Walter Bacon,Prudence Beers,Kit Carson,Francis De Sales"                                                                     ,"1960,R"         ,  109 ,"Horror,Mystery,Thriller,Back to top"    ,       ,United States  ,R         ,  8.5 ,Psycho                                                               ,
"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."                                ,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi,Tatsuya Gashûin,Ryûnosuke Kamiki,Yumi Tamai,Yô Ôizumi,Koba Hayashi,Tsunehiko Kamijô,Takehiko Ono,Bunta Sugawara,Shigeru Wakita,Shirô Saitô,Michiko Yamamoto"                                                                ,"2001,PG"        ,  125 ,"Animation,Adventure,Family,Back to top" ,       ,Japan          ,PG        ,  8.6 ,Spirited Away                                                        ,Original title: Sen to Chihiro no kamikakushi
"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old adolescent son John from an even more advanced and powerful cyborg."                                  ,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen,Joe Morton,S. Epatha Merkerson,Castulo Guerra,Danny Cooksey,Jenette Goldstein,Xander Berkeley,Leslie Hamilton Gearren,Ken Gibbel,Robert Winley,Peter Schrum,Shane Wilder,Michael Edwards,Jared Lounsbery"                                          ,"1991,R"         ,  137 ,"Action,Sci-Fi,Back to top"              ,       ,United States  ,R         ,  8.6 ,Terminator 2: Judgment Day                                           ,
"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."                                                   ,"Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Dabbs Greer,Eve Brent,William Sadler,Mack Miles,Rai Tasco"                                                                      ,"1999,R"         ,  189 ,"Crime,Drama,Fantasy,Back to top"        ,       ,United States  ,R         ,  8.6 ,The Green Mile                                                       ,
The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.                                                         ,"Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,Candice Bergen,Edward Fox,Trevor Howard,John Mills,Martin Sheen,Ian Charleson,Günther Maria Halmer,Athol Fugard,Saeed Jaffrey,Geraldine James,Alyque Padamsee,Amrish Puri,Ian Bannen,Michael Bryant"                                                                    ,"1982,PG"        ,  191 ,"Biography,Drama,History,Back to top"    ,       ,United Kingdom ,PG        ,  8.1 ,Gandhi                                                               ,
"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ..., "   ,"Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Peter Cushing,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,Phil Brown,Shelagh Fraser,Jack Purvis,Alex McCrindle,Eddie Byrne,Drewe Henley,Denis Lawson,Garrick Hagon,Jack Klaff"                                                                                  ,"1977,PG"        ,  121 ,"Action,Adventure,Fantasy,Back to top"   ,       ,United States  ,PG        ,  8.6 ,Star Wars: Episode IV - A New Hope                                   ,Original title: Star Wars
"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."              ,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Tom Wilson,Claudia Wells,Marc McClure,Wendie Jo Sperber,George DiCenzo,Frances Lee McCain,James Tolkan,J.J. Cohen,Casey Siemaszko,Billy Zane,Harry Waters Jr.,Donald Fullilove,Lisa Freeman,Cristen Kauffman"                                                      ,"1985,PG"        ,  116 ,"Adventure,Comedy,Sci-Fi,Back to top"    ,       ,United States  ,PG        ,  8.5 ,Back to the Future                                                   ,
"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th..., "   ,"Viola Davis,Emma Stone,Octavia Spencer,Bryce Dallas Howard,Jessica Chastain,Ahna O'Reilly,Allison Janney,Anna Camp,Eleanor Henry,Emma Henry,Christopher Lowell,Cicely Tyson,Mike Vogel,Sissy Spacek,Brian Kerwin,Wes Chatham,Aunjanue Ellis,Ted Welch"                                                                          ,"2011,PG-13"     ,  146 ,"Drama,Back to top"                      ,       ,United States  ,PG-13     ,  8.1 ,The Help                                                             ,
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.                                                             ,"Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker,Gilbert Gottfried,Douglas Seale,Charlie Adler,Jack Angel,Corey Burton,Philip L. Clarke,Jim Cummings,Jennifer Darling,Debi Derryberry,Bruce Gooch,Jerry Houser,Vera Lockwood,Sherry Lynn"                                                                ,"1992,G"         ,   90 ,"Animation,Adventure,Comedy,Back to top" ,       ,United States  ,G         ,  8.0 ,Aladdin                                                              ,
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.                                                               ,"Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov,Vladimir Khrulyov,V. Lastochkin,Stanislav Marin,Igor Sykhra,Vladimir Sergiyakov,Yanis Yakobsons,Vladimir Khlestov,G. Polunin,V. Koldin,M. Tetov,S. Sinyavskiy,Vladimir Sverba,V. Ignatov,Vladimir Kremena,Aleksandr Pyatkov"                                                        ,"1975,G"         ,  142 ,"Adventure,Biography,Drama,Back to top"  ,       ,Soviet Union   ,G         ,  8.2 ,Dersu Uzala                                                          ,
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.                                                                                                 ,"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,James Gammon,Cloris Leachman,Christopher McDonald,John Mahoney,M. Emmet Walsh,Jack Angel,Bob Bergen,Mary Kay Bergman,Michael Bird,Devon Cole Borisoff,Rodger Bumpass,Robert Clotworthy,Jennifer Darling,Zack Eginton"                                              ,"1999,PG"        ,   86 ,"Animation,Action,Adventure,Back to top" ,       ,United States  ,PG        ,  8.1 ,The Iron Giant                                                       ,
A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.                                                                       ,"Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,Peggy Wood,Charmian Carr,Heather Menzies-Urich,Nicholas Hammond,Duane Chase,Angela Cartwright,Debbie Turner,Kym Karath,Anna Lee,Portia Nelson,Ben Wright,Daniel Truhitte,Norma Varden,Gilchrist Stuart"                                                          ,"1965,G"         ,  172 ,"Biography,Drama,Family,Back to top"     ,       ,United States  ,G         ,  8.1 ,The Sound of Music                                                   ,
"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."                                                               ,"Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Eric Idle,Terry Jones,Terence Bayler,Carol Cleveland,Kenneth Colley,Neil Innes,Charles McKeown,John Young,Gwen Taylor,Sue Jones-Davies,Peter Brett,John Case,Chris Langham,Andrew MacLachlan"                                                                            ,"1979,R"         ,   94 ,"Comedy,Back to top"                     ,       ,United Kingdom ,R         ,  8.0 ,Life of Brian                                                        ,
A nurse is put in charge of a mute actress and finds that their personae are melding together.                                                                                                          ,"Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,Jörgen Lindström"                                                                                                                                                                                                                                                ,"1966,Not Rated" ,   83 ,"Drama,Thriller,Back to top"             ,       ,Sweden         ,Not Rated ,  8.1 ,Persona                                                              ,
"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."                       ,"Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,James Hong,Tallie Medel,Jenny Slate,Harry Shum Jr.,Randy Newman,Biff Wiff,Sunita Mani,Aaron Lazar,Brian Le,Andy Le,Narayana Cabral,Chelsey Goldsmith,Craig Henningsen,Anthony Molinari"                                                                                ,"2022,R"         ,  139 ,"Action,Adventure,Comedy,Back to top"    ,       ,United States  ,R         ,  8.1 ,Everything Everywhere All at Once                                    ,
"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."                                                                                        ,"Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Moon So-ri,Kim Tae-ri,Yong-nyeo Lee,Min-chae Yoo,Dong-hwi Lee,Kim Hae-sook,Kyu-jung Lee,Si-eun Kim,Si-yeon Ha,Rina Takagi,Geun-hee Won,Jong-Dae Kim,Han-sun Jang,Eun-yeong Kim,Ri-woo Kim"                                                                                                ,"2016,Not Rated" ,  145 ,"Drama,Romance,Thriller,Back to top"     ,       ,South Korea    ,Not Rated ,  8.1 ,The Handmaiden                                                       ,Original title: Ah-ga-ssi
"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin..., "   ,"Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas,Alan Hale,Arthur Hoyt,Blanche Friderici,Charles C. Wilson,Ernie Adams,Jessie Arnold,Irving Bacon,William Bailey,William Begg,William A. Boardway,Ward Bond,Harry C. Bradley,George P. Breakston"                                                      ,"1934,Passed"    ,  105 ,"Comedy,Romance,Back to top"             ,       ,United States  ,Passed    ,  8.1 ,It Happened One Night                                                ,
"A young boy, left without attention, delves into a life of petty crime."                                                                                                                               ,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon"                                            ,"1959,Not Rated" ,   99 ,"Crime,Drama,Back to top"                ,       ,France         ,Not Rated ,  8.1 ,The 400 Blows                                                        ,Original title: Les quatre cents coups
"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."                                                                                                         ,"Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Lou Antonio,Robert Drivas,Jo Van Fleet,Clifton James,Morgan Woodward,Luke Askew,Marc Cavell,Richard Davalos,Robert Donner,Warren Finnerty,Dennis Hopper,John McLiam,Wayne Rogers,Harry Dean Stanton"                                                                     ,"1967,GP"        ,  127 ,"Crime,Drama,Back to top"                ,       ,United States  ,GP        ,  8.1 ,Cool Hand Luke                                                       ,
"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."                                             ,"Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Ricardo Dalmacci,Gustavo Sánchez Parra"                                  ,"2000,R"         ,  154 ,"Drama,Thriller,Back to top"             ,       ,Mexico         ,R         ,  8.1 ,Amores Perros                                                        ,Original title: Amores perros
The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.                                                                                                           ,"Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,Serif Sezer,Yetkin Dikinciler,Binnur Kaya,Mahmut Gökgöz,Nergis Çorakçi,Bilge Sen,Tuba Büyüküstün,Özge Özberk,Erdal Tosun,Halit Ergenç,Tugyan Akay Kavukçu,Ege Kaya,Muzaffer Demirel,Burak Akçakaya"                                                                             ,"2005,Not Rated" ,  112 ,"Drama,Family,Back to top"               ,       ,Turkey         ,Not Rated ,  8.2 ,My Father and My Son                                                 ,Original title: Babam ve Oglum
A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.                                                  ,"Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny,C. Aubrey Smith,Gladys Cooper,Florence Bates,Melville Cooper,Leo G. Carroll,Leonard Carey,Lumsden Hare,Edward Fielding,Philip Winter,Forrester Harvey,Bunny Beatty,Billy Bevan"                                                        ,"1940,Approved"  ,  130 ,"Drama,Film-Noir,Mystery,Back to top"    ,       ,United States  ,Approved  ,  8.1 ,Rebecca                                                              ,
"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."                       ,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Damian O'Hare,Giles New,Angus Barnett,David Bailie,Michael Berry Jr.,Isaac C. Singleton Jr.,Kevin McNally,Treva Etienne,Zoe Saldana,Guy Siner"                                                               ,"2003,PG-13"     ,  143 ,"Action,Adventure,Fantasy,Back to top"   ,       ,United States  ,PG-13     ,  8.1 ,Pirates of the Caribbean: The Curse of the Black Pearl               ,
"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."                                                                             ,"Suriya,Lijo Mol Jose,Manikandan K.,Rajisha Vijayan,Prakash Raj,Rao Ramesh,Guru Somasundaram,M.S. Bhaskar,V. Jayaprakash,Sibi Thomas,Ilavarasu,Jayarao,Sujatha Sivakumar,Ravi Venkatraman,Tamizh,Kumaravel,Supergood Subramani,Bala Hasan"                                                                                       ,"2021,TV-MA"     ,  164 ,"Crime,Drama,Mystery,Back to top"        ,       ,India          ,TV-MA     ,  8.9 ,Jai Bhim                                                             ,
"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great..., "   ,"Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,Dorris Bowdon,Russell Simpson,O.Z. Whitehead,John Qualen,Eddie Quillan,Zeffie Tilbury,Frank Sully,Frank Darien,Darryl Hickman,Shirley Mills,Roger Imhof,Grant Mitchell,Charles D. Brown,John Arledge"                                                                  ,"1940,Passed"    ,  129 ,"Drama,Back to top"                      ,       ,United States  ,Passed    ,  8.1 ,The Grapes of Wrath                                                  ,
"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."                                                                                  ,"Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Franco Moruzzi,Tommaso Neri,Rouïched,Gene Wesson"                                                                                                                                                                            ,"1966,Not Rated" ,  121 ,"Drama,War,Back to top"                  ,       ,Italy          ,Not Rated ,  8.1 ,The Battle of Algiers                                                ,Original title: La battaglia di Algeri
