Description                                                                                                                                                                                             ,acteurs                                                                                                                                                                                                                                                                                                                          ,date             ,duree ,genre                                    ,langue ,pays           ,public    ,score ,titre                                                                ,titre_original
"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."           ,"Faye Dunaway,William Holden,Peter Finch,Robert Duvall,Wesley Addy,Ned Beatty,Arthur Burghardt,Bill Burrows,John Carpenter,Jordan Charney,Kathy Cronkite,Ed Crowley,Jerome Dempsey,Conchata Ferrell,Gene Gross,Stanley Grover,Cindy Grover,Darryl Hickman"                                                                       ,"1976,R"         ,  121 ,"Drama,Back to top"                      ,       ,United States  ,R         ,  8.1 ,Network                                                              ,
The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.                                                                                                                       ,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino,David Calder,Natalie Dormer,Stephen Mangan,Christian McKay,Alistair Petrie,Julian Rhind-Tutt,Colin Stinton,Jamie de Courcey,Augusto Dallara,Ilario Calvo,Patrick Baladi,Vincent Riotta,Martin Savage"                                       ,"2013,R"         ,  123 ,"Action,Biography,Drama,Back to top"     ,       ,United Kingdom ,R         ,  8.1 ,Rush                                                                 ,
"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s..., "   ,"Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant,Elizabeth Rodriguez,Richard E. Grant,Eriq La Salle,Elise Neal,Quincy Fouse,Al Coronel,Frank Gallegos,Anthony Escobar,Reynaldo Gallegos,Krzysztof Soszynski,Stephen Dunlevy,Daniel Bernhardt,Ryan Sturz"                                                  ,"2017,R"         ,  137 ,"Action,Drama,Sci-Fi,Back to top"        ,       ,United States  ,R         ,  8.1 ,Logan                                                                ,
"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."                                                                      ,"Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Kiefer Sutherland,Casey Siemaszko,Gary Riley,Bradley Gregg,Jason Oliver Lipsett,Marshall Bell,Frances Lee McCain,Bruce Kirby,William Bronder,Scott Beach,Richard Dreyfuss,John Cusack,Madeleine Swift,Popeye"                                                           ,"1986,R"         ,   89 ,"Adventure,Drama,Back to top"            ,       ,United States  ,R         ,  8.1 ,Stand by Me                                                          ,
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.                                                                                                  ,"Brad Garrett,Lou Romano,Patton Oswalt,Ian Holm,Brian Dennehy,Peter Sohn,Peter O'Toole,Janeane Garofalo,Will Arnett,Julius Callahan,James Remar,John Ratzenberger,Teddy Newton,Tony Fucile,Jake Steinfeld,Brad Bird,Stéphane Roux,Jack Bird"                                                                                     ,"2007,G"         ,  111 ,"Animation,Adventure,Comedy,Back to top" ,       ,United States  ,G         ,  8.1 ,Ratatouille                                                          ,
"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so..., "   ,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,Lance Henriksen,Rick Rossovich,Bess Motta,Earl Boen,Dick Miller,Shawn Schepps,Bruce M. Kerner,Franco Columbu,Bill Paxton,Brad Rearden,Brian Thompson,William Wisher,Ken Fritz,Tom Oberhaus"                                                                    ,"1984,R"         ,  107 ,"Action,Sci-Fi,Back to top"              ,       ,United Kingdom ,R         ,  8.1 ,The Terminator                                                       ,
"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."         ,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Brian d'Arcy James,Stanley Tucci,Elena Wohl,Gene Amoroso,Doug Murray,Sharon McFarlane,Jamey Sheridan,Neal Huff,Billy Crudup,Robert B. Kennedy,Duane Murray,Brian Chamberlain,Michael Cyril Creighton"                                                   ,"2015,R"         ,  129 ,"Biography,Crime,Drama,Back to top"      ,       ,United States  ,R         ,  8.1 ,Spotlight                                                            ,
"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."                                                             ,"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Chunibala Devi,Uma Das Gupta,Runki Banerjee,Reba Devi,Aparna Devi,Tulsi Chakraborty,Haren Banerjee,Rampada Das,Nibhanani Devi,Rama Gangopadhaya,Roma Ganguli,Binoy Mukherjee,Haridhan Nag,Harimohan Nag,Kshirod Roy"                                                             ,"1955,Not Rated" ,  125 ,"Drama,Back to top"                      ,       ,India          ,Not Rated ,  8.3 ,Pather Panchali                                                      ,
A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.                             ,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Burgess Meredith,Thayer David,Joe Spinell,Jimmy Gambina,Bill Baldwin,Al Silvani,George Memmoli,Jodi Letizia,Diana Lewis,George O'Hanlon,Larry Carroll,Stan Shaw,Don Sherman,Billy Sands"                                                                                ,"1976,PG"        ,  120 ,"Drama,Sport,Back to top"                ,       ,United States  ,PG        ,  8.1 ,Rocky                                                                ,
"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th..., "   ,"Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,Forest Whitaker,Francesco Quinn,Kevin Dillon,John C. McGinley,Reggie Johnson,Mark Moses,Corey Glover,Johnny Depp,Chris Pedersen,Bob Orwig,Corkey Ford,David Neidorf,Richard Edson,Tony Todd"                                                                                ,"1986,R"         ,  120 ,"Drama,War,Back to top"                  ,       ,United States  ,R         ,  8.1 ,Platoon                                                              ,
"American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2..., "   ,"Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,Josh Lucas,Noah Jupe,Tracy Letts,Remo Girone,Ray McKinnon,JJ Feild,Jack McMullen,Corrado Invernizzi,Joe Williamson,Ian Harding,Christopher Darga,Shawn Law,Emil Beheshti,Darrin Prescott"                                                                                ,"2019,PG-13"     ,  152 ,"Action,Biography,Drama,Back to top"     ,       ,United States  ,PG-13     ,  8.1 ,Ford v Ferrari                                                       ,
"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."                                                           ,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,Desmond Dube,Hakeem Kae-Kazim,Tony Kgoroge,Rosie Motene,Neil McCarthy,Mabutho 'Kid' Sithole,Nick Nolte,Fana Mokoena,Jeremiah Ndlovu,Lebo Mashile,Antonio David Lyons,Leleti Khumalo,Kgomotso Seitshohlo,Lerato Mokgotho"                                                 ,"2004,PG-13"     ,  121 ,"Biography,Drama,History,Back to top"    ,       ,United Kingdom ,PG-13     ,  8.1 ,Hotel Rwanda                                                         ,
"An old couple visit their children and grandchildren in the city, but receive little attention."                                                                                                       ,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,Haruko Sugimura,Kuniko Miyake,Kyôko Kagawa,Eijirô Tôno,Nobuo Nakamura,Shirô Ôsaka,Hisao Toake,Teruko Nagaoka,Mutsuko Sakura,Toyo Takahashi,Tôru Abe,Sachiko Mitani,Zen Murase,Mitsuhiro Môri"                                                                            ,"1953,Not Rated" ,  136 ,"Drama,Back to top"                      ,       ,Japan          ,Not Rated ,  8.2 ,Tokyo Story                                                          ,Original title: Tôkyô monogatari
"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."                                               ,"Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,Antonin Artaud,Michel Simon,Jean d'Yd,Louis Ravet,Armand Lurville,Jacques Arnna,Alexandre Mihalesco,Léon Larive,Jean Aymé,Camille Bardou,Gilbert Dacheux,Gilbert Dalleu,Paul Delauzac,Dimitri Dimitriev"                                                            ,"1928,Passed"    ,  114 ,"Biography,Drama,History,Back to top"    ,       ,France         ,Passed    ,  8.2 ,The Passion of Joan of Arc                                           ,Original title: La passion de Jeanne d'Arc
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.                                                                                   ,"Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,Gale Hansen,Dylan Kussman,Allelon Ruggiero,James Waterston,Norman Lloyd,Kurtwood Smith,Carla Belver,Leon Pownall,George Martin,Joe Aufiery,Matt Carey,Kevin Cooney,Jane Moore,Lara Flynn Boyle"                                                                     ,"1989,PG"        ,  128 ,"Comedy,Drama,Back to top"               ,       ,United States  ,PG        ,  8.1 ,Dead Poets Society                                                   ,
"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ..., "   ,"Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi,James Coburn,Jennifer Tilly,Bob Peterson,John Ratzenberger,Frank Oz,Daniel Gerson,Steve Susskind,Bonnie Hunt,Jeff Pidgeon,Samuel Lord Black,Jack Angel,Bob Bergen,Rodger Bumpass,Gino Conforti"                                                                             ,"2001,G"         ,   92 ,"Animation,Adventure,Comedy,Back to top" ,       ,United States  ,G         ,  8.1 ,"Monsters, Inc."                                                     ,
"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y..., "   ,"Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,Christopher Massey,Oliver Marks,Daisy Kocher,Daniel Marks,Hamish Hughes,Dan Doherty,Julie Forsyth,Mandy Mao,Patrick McCabe,Adam Elliot,Mr. Peck,Michael James Allen,Bill Murphy,Shaun Patten"                                                                    ,"2009,Not Rated" ,   92 ,"Animation,Comedy,Drama,Back to top"     ,       ,Australia      ,Not Rated ,  8.1 ,Mary and Max                                                         ,Original title: Mary and Max.
"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."                              ,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,America Ferrera,Jonah Hill,T.J. Miller,Kristen Wiig,Robin Atkin Downes,Philip McGrade,Kieron Elliott,Ashley Jensen,David Tennant,Thom Adcox-Hernandez,Tony Anselmo,Bob Bouchard,Nicholas Guest,Kelly Nigh"                                                   ,"2010,PG"        ,   98 ,"Animation,Action,Adventure,Back to top" ,       ,United States  ,PG        ,  8.1 ,How to Train Your Dragon                                             ,
"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help whi..., " ,"Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi,David Huddleston,Philip Seymour Hoffman,Tara Reid,Philip Moon,Mark Pellegrino,Peter Stormare,Flea,Torsten Voges,Jimmie Dale Gilmore,Jack Kehler,John Turturro,James G. Hoosier,Carlos Leon,Terrence Burton"                                                              ,"1998,R"         ,  117 ,"Comedy,Crime,Back to top"               ,       ,United States  ,R         ,  8.1 ,The Big Lebowski                                                     ,
"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."                             ,"Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,Sandy McMaster,Matt Gordon,Amanda Brugel,Joe Pingue,Joan Allen,Zarrin Darnell-Martin,Cas Anvar,William H. Macy,Jee-Yun Lee,Randal Edwards,Justin Mader,Ola Sturik,Rodrigo Fernandez-Stoll,Rory O'Shea"                                                                   ,"2015,R"         ,  118 ,"Drama,Thriller,Back to top"             ,       ,Ireland        ,R         ,  8.1 ,Room                                                                 ,
"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."                                    ,"Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Jeffrey Kramer,Susan Backlinie,Jonathan Filley,Ted Grossman,Chris Rebello,Jay Mello,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury,Robert Nevin,Peter Benchley,Jonathan Searle"                                                              ,"1975,PG"        ,  124 ,"Adventure,Thriller,Back to top"         ,       ,United States  ,PG        ,  8.1 ,Jaws                                                                 ,
"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."                          ,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,Bibi Andersson,Inga Gill,Maud Hansson,Inga Landgré,Gunnel Lindblom,Bertil Anderberg,Anders Ek,Åke Fridell,Gunnar Olsson,Erik Strandmark,Siv Aleros,Sten Ardenstam,Harry Asklund,Benkt-Åke Benktsson"                                                                   ,"1957,Not Rated" ,   96 ,"Drama,Fantasy,Back to top"              ,       ,Sweden         ,Not Rated ,  8.1 ,The Seventh Seal                                                     ,Original title: Det sjunde inseglet
Six short stories that explore the extremities of human behavior involving people in distress.                                                                                                          ,"Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,Marcelo Frasca,Lucila Mangone,María Laura Caccamo,Carlos Alberto Vavassori,Pablo Machado,Horacio Vay,Javier Pedersoli,Héctor Drachtman,María Rosa López Ottonello,Rita Cortese,Julieta Zylberberg,César Bordón,Juan Santiago Linari,Leonardo Sbaraglia"              ,"2014,R"         ,  122 ,"Comedy,Drama,Thriller,Back to top"      ,       ,Argentina      ,R         ,  8.1 ,Wild Tales                                                           ,Original title: Relatos salvajes
"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."                                               ,"Song Kang-ho,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,Byun Hee-Bong,Seo-hie Ko,Tae-ho Ryu,No-shik Park,Park Hae-il,Mi-seon Jeon,Young-hwa Seo,Woo Go-na,Ok-joo Lee,Jong-ryol Choi,Seung-mok Yoo,Hun-Kyung Lee,Shin Hyun-jong,Jae-eung Lee"                                                                                         ,"2003,Not Rated" ,  132 ,"Crime,Drama,Mystery,Back to top"        ,       ,South Korea    ,Not Rated ,  8.1 ,Memories of Murder                                                   ,Original title: Salinui chueok
"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries..., "   ,"James Stewart,Jean Arthur,Claude Rains,Edward Arnold,Guy Kibbee,Thomas Mitchell,Eugene Pallette,Beulah Bondi,H.B. Warner,Harry Carey,Astrid Allwyn,Ruth Donnelly,Grant Mitchell,Porter Hall,H.V. Kaltenborn,Charles Lane,Pierre Watkin,Dick Elliott"                                                                            ,"1939,Passed"    ,  129 ,"Comedy,Drama,Back to top"               ,       ,United States  ,Passed    ,  8.1 ,Mr. Smith Goes to Washington                                         ,
"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named ..., "   ,"Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,Hugh Keays-Byrne,Josh Helman,Nathan Jones,Rosie Huntington-Whiteley,Riley Keough,Abbey Lee,Courtney Eaton,John Howard,Richard Carter,Iota,Angus Sampson,Jennifer Hagan,Megan Gale,Melissa Jaffer"                                                                          ,"2015,R"         ,  120 ,"Action,Adventure,Sci-Fi,Back to top"    ,       ,Australia      ,R         ,  8.1 ,Mad Max: Fury Road                                                   ,
"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv..., "   ,"Jason Schwartzman,J.K. Simmons,Rashida Jones,Will Sasso,Neda Margrethe Labba,Sergio Pablos,Norm MacDonald,Joan Cusack,Evan Agos,Sky Alexis,Jaeden Bettencourt,Teddy Blum,Mila Brener,Sydney Brower,Finn Carr,Kendall Joy Hall,Hailey Hermida,Lexie Holland"                                                                     ,"2019,PG"        ,   96 ,"Animation,Adventure,Comedy,Back to top" ,       ,Spain          ,PG        ,  8.1 ,Klaus                                                                ,
"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ..., "   ,"Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,Richard Pyros,Jacob Warner,Milo Gibson,Darcy Bryce,Roman Guerriero,James Lugton,Kasia Stelmach,Hugo Weaving,Rachel Griffiths,Jarin Towney,Tim McGarry,Tyler Coppin,Richard Platt,Nathaniel Buzolic"                                                                   ,"2016,R"         ,  139 ,"Biography,Drama,History,Back to top"    ,       ,Australia      ,R         ,  8.1 ,Hacksaw Ridge                                                        ,
"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."                                                ,"Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,Véra Clouzot,William Tubbs,Darío Moreno,Jo Dest,Antonio Centa,Luis De Lima,Grégoire Gromoff,Josep Palau i Fabre,Faustini,Seguna,Darling Légitimus,René Baranger,Pat Hurst,Evelio Larenagas"                                                                               ,"1953,Not Rated" ,  131 ,"Adventure,Drama,Thriller,Back to top"   ,       ,France         ,Not Rated ,  8.2 ,The Wages of Fear                                                    ,Original title: Le salaire de la peur
An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.                                                                             ,"Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,Steven Berkoff,Gay Hamilton,Marie Kean,Diana Körner,Murray Melvin,Frank Middlemass,André Morell,Arthur O'Sullivan,Godfrey Quigley,Leonard Rossiter,Philip Stone,Leon Vitali,John Bindon,Roger Booth"                                                                     ,"1975,PG"        ,  185 ,"Adventure,Drama,War,Back to top"        ,       ,United Kingdom ,PG        ,  8.1 ,Barry Lyndon                                                         ,
"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."                                     ,"Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,Ward Crane,Jane Connelly,George Davis,Doris Deane,Christine Francis,Betsy Ann Hisle,Kewpie Morgan,Steve Murphy,John Patrick,Ford West"                                                                                                                                  ,"1924,Passed"    ,   45 ,"Action,Comedy,Romance,Back to top"      ,       ,United States  ,Passed    ,  8.2 ,Sherlock Jr.                                                         ,
A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.                                             ,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,Emma Thompson,Nye Heron,Anthony Brophy,Frankie McCafferty,Paul Warriner,Julian Walsh,Stuart Wolfenden,Jo Connor,Karen Carlisle,Seamus Moran,Billy Byrne,Maureen McBride,Jane Nolan,Laurence Griffin"                                                             ,"1993,R"         ,  133 ,"Biography,Crime,Drama,Back to top"      ,       ,Ireland        ,R         ,  8.1 ,In the Name of the Father                                            ,
"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."                     ,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,Willem Dafoe,Jeff Goldblum,Harvey Keitel,Jude Law,Bill Murray,Edward Norton,Saoirse Ronan,Jason Schwartzman,Léa Seydoux,Tilda Swinton,Tom Wilkinson,Owen Wilson,Tony Revolori,Larry Pine"                                                                          ,"2014,R"         ,   99 ,"Adventure,Comedy,Crime,Back to top"     ,       ,United States  ,R         ,  8.1 ,The Grand Budapest Hotel                                             ,
An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.                                              ,"Robert De Niro,Christopher Walken,John Cazale,John Savage,Meryl Streep,George Dzundza,Chuck Aspegren,Shirley Stoler,Rutanya Alda,Pierre Segui,Mady Kaplan,Amy Wright,Mary Ann Haenel,Richard Kuss,Joe Grifasi,Christopher Colombi Jr.,Victoria Karnafel,Jack Scardino"                                                          ,"1978,R"         ,  183 ,"Drama,War,Back to top"                  ,       ,United States  ,R         ,  8.1 ,The Deer Hunter                                                      ,
"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ..., "   ,"Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Frank Barnes,Charles Henry Smith,Joe Keaton,Mike Donlin,Tom Nawn,Henry Baird,Joe Bricher,Jimmy Bryant,Sergeant Bukowski,C.C. Cruson,Jack Dempster,Keith Fennell,Budd Fine"                                                                                   ,"1926,Passed"    ,   67 ,"Action,Adventure,Comedy,Back to top"    ,       ,United States  ,Passed    ,  8.2 ,The General                                                          ,
"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."                                                 ,"Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,Paul Hörbiger,Ernst Deutsch,Erich Ponto,Siegfried Breuer,Hedwig Bleibtreu,Bernard Lee,Wilfrid Hyde-White,Nelly Arno,Jack Arrow,Harold Ayer,Harry Belcher,Leo Bieber,Paul Birch,Martin Boddey"                                                                              ,"1949,Approved"  ,   93 ,"Film-Noir,Mystery,Thriller,Back to top" ,       ,United Kingdom ,Approved  ,  8.1 ,The Third Man                                                        ,
"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."                             ,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon,Kim Dickens,Patrick Fugit,David Clennon,Lisa Banes,Missi Pyle,Emily Ratajkowski,Casey Wilson,Lola Kirke,Boyd Holbrook,Sela Ward,Lee Norris,Jamie McShane,Leonard Kelly-Young"                                                                             ,"2014,R"         ,  149 ,"Drama,Mystery,Thriller,Back to top"     ,       ,United States  ,R         ,  8.1 ,Gone Girl                                                            ,
"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."                                                                                      ,"Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,Jullan Kindahl,Folke Sundquist,Björn Bjelfvenstam,Naima Wifstrand,Gunnel Broström,Gertrud Fridh,Sif Ruud,Gunnar Sjöberg,Max von Sydow,Åke Fridell,Yngve Nordwall,Per Sjöstrand,Gio Petré,Gunnel Lindblom"                                                       ,"1957,Not Rated" ,   91 ,"Drama,Romance,Back to top"              ,       ,Sweden         ,Not Rated ,  8.1 ,Wild Strawberries                                                    ,Original title: Smultronstället
"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."                                                ,"Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,Hugh Griffith,Martha Scott,Cathy O'Donnell,Sam Jaffe,Finlay Currie,Frank Thring,Terence Longdon,George Relph,André Morell,Nello Appodia,Fortunato Arena,Bruno Ariè,Les Ballets Africains,Emma Baron"                                                                    ,"1959,G"         ,  212 ,"Adventure,Drama,Back to top"            ,       ,United States  ,G         ,  8.1 ,Ben-Hur                                                              ,
"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."                  ,"Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,Karl Bruckschwaiger,Tex Rubinowitz,Erni Mangold,Dominik Castell,Haymon Maria Buttinger,Harald Waiglein,Bilge Jeschim,Kurti,Hans Weingartner,Liese Lyon,Peter Ily Huemer,Otto Reiter,Hubert Fabian Kulterer,Branko Andric"                                                    ,"1995,R"         ,  101 ,"Drama,Romance,Back to top"              ,       ,United States  ,R         ,  8.1 ,Before Sunrise                                                       ,
"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."                                                ,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,Ralph Fiennes,Alan Rickman,Evanna Lynch,Domhnall Gleeson,Clémence Poésy,Warwick Davis,John Hurt,Helena Bonham Carter,Graham Duff,Anthony Allgood,Rusty Goffe,Jon Key,Kelly Macdonald,Jason Isaacs"                                                                     ,"2011,PG-13"     ,  130 ,"Adventure,Family,Fantasy,Back to top"   ,       ,United Kingdom ,PG-13     ,  8.1 ,Harry Potter and the Deathly Hallows: Part 2                         ,Original title: Harry Potter and the Deathly Hallows - Part 2
"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."                                                                          ,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,Dwight Henry,Dickie Gravois,Bryan Batt,Ashley Dyke,Kelsey Scott,Quvenzhané Wallis,Cameron Zeigler,Tony Bentley,Scoot McNairy,Taran Killam,Christopher Berry,Bill Camp,Mister Mackey Jr.,Chris Chalk"                                                     ,"2013,R"         ,  134 ,"Biography,Drama,History,Back to top"    ,       ,United States  ,R         ,  8.1 ,12 Years a Slave                                                     ,
"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ..., "   ,"Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Pat Henning,Leif Erickson,James Westerfield,Tony Galento,Tami Mauriello,John F. Hamilton,John Heldabrand,Rudy Bond,Don Blackman,Arthur Keegan,Abe Simon,Eva Marie Saint,Martin Balsam,Dan Bergin"                                                                             ,"1954,Approved"  ,  108 ,"Crime,Drama,Thriller,Back to top"       ,       ,United States  ,Approved  ,  8.1 ,On the Waterfront                                                    ,
"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."                                                      ,"Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,Malcolm Waite,Georgia Hale,Jack Adams,Frank Aderias,Leona Aderias,Lillian Adrian,Sam Allen,Claude Anderson,Harry Arras,Albert Austin,Marta Belfort,William Bell,Francis Bernhardt,F.J. Beuaregard"                                                                          ,"1925,Passed"    ,   95 ,"Adventure,Comedy,Drama,Back to top"     ,       ,United States  ,Passed    ,  8.2 ,The Gold Rush                                                        ,
A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.                                                                    ,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Morgan Paull,Kevin Thompson,John Edward Allen,Hy Pyke,Kimiko Hiroshige,Bob Okazaki,Carolyn DeMirjian"                                                                   ,"1982,R"         ,  117 ,"Action,Drama,Sci-Fi,Back to top"        ,       ,United States  ,R         ,  8.1 ,Blade Runner                                                         ,
"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."                                       ,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,Fereshte Sarabandi,Kamal Mirkarimi,Behzad Rafi,Dariush Mokhtari,Mohammad-Hasan Hosseinian,Masume Dair,Kambiz Peykarnegar,Hasan Roohparvari,Abbas-Ali Roomandi,Jafar Seyfollahi,Qolamreza Maleki,Zahra Mirzai,Sara Zamani,Mohammad Haj-Hosseini" ,"1997,PG"        ,   89 ,"Drama,Family,Sport,Back to top"         ,       ,Iran           ,PG        ,  8.2 ,Children of Heaven                                                   ,Original title: Bacheha-Ye aseman
